nob,cnt_gen_band,cnt_blk_band,cnt_suc_band,total_Gen_bandwidth,total_Block_bandwidth,cnt_suc_nos,utilization,avghop,routing_name,assingment_name,networktopo
0,[4916. 5118. 5036. 5098. 4976. 4758. 5046. 5050. 5038. 4964.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4916. 5118. 5036. 5098. 4976. 4758. 5046. 5050. 5038. 4964.],3434800.0,0,[8349. 8426. 7889. 6228. 5486. 2594. 2759. 2787. 2738. 2744.],0.16590096279761904,2.41762,DJP,spec_assin_FLEF,test_nsf
3,[4944. 4988. 5066. 4933. 4951. 4968. 4962. 5043. 5116. 5029.],[0. 0. 0. 0. 0. 0. 0. 1. 0. 2.],[4944. 4988. 5066. 4933. 4951. 4968. 4962. 5042. 5116. 5027.],3447812.5,350.0,[8256. 8165. 7814. 6132. 5557. 2783. 2794. 2769. 2859. 2868.],0.254112150297619,2.440406424385463,DJP,spec_assin_FLEF,test_nsf
106,[4926. 4956. 5060. 4941. 5036. 4949. 5064. 5002. 5038. 5028.],[ 0.  0.  0.  0.  0.  2.  9.  9. 29. 57.],[4926. 4956. 5060. 4941. 5036. 4947. 5055. 4993. 5009. 4971.],3446775.0,12225.0,[8242. 8171. 7791. 6201. 5727. 2738. 2759. 2708. 2792. 2765.],0.3297905580357143,2.429169840060929,DJP,spec_assin_FLEF,test_nsf
408,[4987. 5051. 4939. 5098. 4864. 5106. 4929. 4964. 4983. 5079.],[  0.   0.   0.   3.   7.   7.  35.  57. 106. 193.],[4987. 5051. 4939. 5095. 4857. 5099. 4894. 4907. 4877. 4886.],3438825.0,45925.0,[8231. 8386. 7673. 6176. 5322. 2853. 2707. 2730. 2751. 2763.],0.3976249375,2.35767865784804,DJP,spec_assin_FLEF,test_nsf
1033,[5052. 5013. 5114. 4906. 5007. 4976. 5014. 5005. 5004. 4909.],[  0.   0.   1.   4.  20.  35.  96. 196. 286. 395.],[5052. 5013. 5113. 4902. 4987. 4941. 4918. 4809. 4718. 4514.],3427487.5,113662.5,[8394. 8228. 7941. 6208. 5474. 2663. 2651. 2577. 2520. 2311.],0.4440039255952381,2.3482957910429474,DJP,spec_assin_FLEF,test_nsf
2191,[4940. 4950. 5006. 5182. 4983. 5032. 4983. 4936. 5028. 4960.],[  0.   1.   3.   9.  35. 110. 270. 371. 618. 774.],[4940. 4949. 5003. 5173. 4948. 4922. 4713. 4565. 4410. 4186.],3436425.0,238025.0,[8205. 8250. 7834. 6307. 5505. 2660. 2490. 2377. 2192. 1989.],0.4911537738095238,2.296994289778075,DJP,spec_assin_FLEF,test_nsf
3569,[4998. 5022. 5056. 4991. 4960. 4951. 4990. 5011. 5071. 4950.],[   0.    0.    7.   31.   82.  225.  395.  653. 1005. 1171.],[4998. 5022. 5049. 4960. 4878. 4726. 4595. 4358. 4066. 3779.],3435462.5,383112.5,[8178. 8332. 7735. 6222. 5363. 2503. 2378. 2171. 1928. 1621.],0.5182116264880953,2.2850250909952403,DJP,spec_assin_FLEF,test_nsf
4766,[5040. 4906. 4984. 4865. 4991. 4991. 5093. 4886. 5082. 5162.],[   0.    0.    9.   50.  155.  339.  615.  827. 1286. 1485.],[5040. 4906. 4975. 4815. 4836. 4652. 4478. 4059. 3796. 3677.],3453275.0,504762.5,[8334. 8135. 7844. 5948. 5265. 2460. 2275. 1929. 1623. 1421.],0.540462994047619,2.235088650130433,DJP,spec_assin_FLEF,test_nsf
