nob,cnt_gen_band,cnt_blk_band,cnt_suc_band,total_Gen_bandwidth,total_Block_bandwidth,cnt_suc_nos,utilization,avghop,routing_name,assingment_name,networktopo
11,[ 9860. 10106. 10102. 10031.  9927.  9726. 10008. 10093. 10154.  9993.],[0. 0. 0. 0. 0. 0. 0. 3. 4. 4.],[ 9860. 10106. 10102. 10031.  9927.  9726. 10008. 10090. 10150.  9989.],6882612.5,1250.0,[16592. 16509. 15694. 12373. 11014.  5398.  5563.  5586.  5628.  5632.],0.25453635416666665,2.451569672663993,DJP,spec_assin_FLEF,test_nsf
53,[ 9913. 10007.  9999. 10039.  9900. 10055.  9993.  9966. 10021. 10107.],[ 0.  0.  0.  0.  0.  3.  3.  6. 12. 29.],[ 9913. 10007.  9999. 10039.  9900. 10052.  9990.  9960. 10009. 10078.],6885600.0,6062.5,[16609. 16706. 15519. 12327. 10944.  5566.  5483.  5465.  5633.  5695.],0.29469724925595236,2.4264560216914965,DJP,spec_assin_FLEF,test_nsf
170,[ 9992.  9963. 10120. 10088.  9990. 10008.  9997.  9941. 10032.  9869.],[ 0.  0.  0.  0.  3.  6.  8. 22. 46. 85.],[ 9992.  9963. 10120. 10088.  9987. 10002.  9989.  9919.  9986.  9784.],6863912.5,19337.5,[16655. 16500. 15759. 12537. 11194.  5441.  5467.  5457.  5503.  5317.],0.33059962797619047,2.4241710908544527,DJP,spec_assin_FLEF,test_nsf
565,[10038.  9928. 10040.  9856.  9951.  9942. 10083.  9897. 10153. 10112.],[  0.   0.   0.   2.   6.  17.  43.  89. 168. 240.],[10038.  9928. 10040.  9854.  9945.  9925. 10040.  9808.  9985.  9872.],6888737.5,63312.5,[16357. 16306. 15507. 12420. 11305.  5536.  5601.  5485.  5564.  5354.],0.3668161421130952,2.413023583245336,DJP,spec_assin_FLEF,test_nsf
812,[10021.  9791. 10067.  9932.  9952. 10132. 10177.  9949.  9979. 10000.],[  0.   0.   0.   8.  12.  40.  82. 124. 211. 335.],[10021.  9791. 10067.  9924.  9940. 10092. 10095.  9825.  9768.  9665.],6884075.0,89337.5,[16413. 16480. 15702. 12417. 11108.  5654.  5575.  5338.  5373.  5128.],0.3922395744047619,2.3721619550752107,DJP,spec_assin_FLEF,test_nsf
1434,[ 9983.  9972.  9918. 10037. 10038.  9976. 10018. 10119. 10050.  9889.],[  0.   0.   2.   2.  22.  71. 145. 247. 392. 553.],[ 9983.  9972.  9916. 10035. 10016.  9905.  9873.  9872.  9658.  9336.],6878662.5,157487.5,[16191. 16041. 15721. 12712. 11507.  5512.  5414.  5399.  5161.  4908.],0.4273319806547619,2.3902258385244406,DJP,spec_assin_FLEF,test_nsf
