nob,cnt_gen_band,cnt_blk_band,cnt_suc_band,total_Gen_bandwidth,total_Block_bandwidth,cnt_suc_nos,utilization,avghop,routing_name,assingment_name,networktopo
0,[ 971.  960. 1070. 1028. 1003.  957. 1009. 1012.  979. 1011.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[ 971.  960. 1070. 1028. 1003.  957. 1009. 1012.  979. 1011.],688125.0,0,[1642. 1675. 1576. 1262. 1054.  524.  557.  584.  556.  570.],0.16625119791666668,2.4535,KSP,BF,test_nsf
3,[ 993.  991.  960. 1013.  990.  952. 1057. 1036. 1002. 1006.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 2.],[ 993.  991.  960. 1013.  990.  952. 1057. 1036. 1001. 1004.],691675.0,362.5,[1689. 1605. 1554. 1299. 1113.  515.  585.  565.  522.  550.],0.24122883928571429,2.420526157847354,KSP,BF,test_nsf
15,[ 990. 1070.  991.  995. 1027.  919. 1013.  996.  985. 1014.],[0. 0. 0. 0. 0. 1. 0. 2. 3. 9.],[ 990. 1070.  991.  995. 1027.  918. 1013.  994.  982. 1005.],684950.0,1737.5,[1678. 1698. 1571. 1232. 1145.  503.  538.  542.  525.  553.],0.3135075669642857,2.4061091637456182,KSP,BF,test_nsf
82,[ 961. 1096. 1019. 1053.  990.  927.  954. 1050.  983.  967.],[ 0.  0.  1.  0.  0.  3.  8. 13. 20. 37.],[ 961. 1096. 1018. 1053.  990.  924.  946. 1037.  963.  930.],681612.5,9137.5,[1651. 1769. 1573. 1261. 1079.  498.  515.  560.  524.  488.],0.3760004538690476,2.3567251461988303,KSP,BF,test_nsf
189,[1001. 1001.  996. 1009.  966. 1003. 1013.  956. 1089.  966.],[ 0.  0.  0.  0.  2. 16. 14. 33. 52. 72.],[1001. 1001.  996. 1009.  964.  987.  999.  923. 1037.  894.],688437.5,20700.0,[1689. 1679. 1612. 1167. 1079.  535.  544.  493.  542.  471.],0.4264185044642857,2.325145245133014,KSP,BF,test_nsf
434,[ 977. 1021.  989.  992.  957. 1015.  994. 1027. 1016. 1012.],[  0.   0.   1.   4.   6.  30.  45.  59. 126. 163.],[ 977. 1021.  988.  988.  951.  985.  949.  968.  890.  849.],690837.5,47250.0,[1652. 1608. 1578. 1241. 1055.  538.  510.  487.  461.  436.],0.4672352827380952,2.318628475851976,KSP,BF,test_nsf
