nob,cnt_gen_band,cnt_blk_band,cnt_suc_band,total_Gen_bandwidth,total_Block_bandwidth,cnt_suc_nos,utilization,avghop,routing_name,assingment_name,networktopo
0,[5893. 6139. 6025. 6090. 5933. 5773. 6040. 6077. 6054. 5976.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5893. 6139. 6025. 6090. 5933. 5773. 6040. 6077. 6054. 5976.],4125637.5,0,[10001. 10034.  9472.  7478.  6567.  3160.  3312.  3330.  3311.  3335.],0.167868046875,2.4396833333333334,KSP,FF,test_nsf
15,[5888. 5973. 6093. 5889. 6040. 5942. 6022. 6009. 6145. 5999.],[0. 0. 0. 0. 1. 1. 2. 2. 6. 3.],[5888. 5973. 6093. 5889. 6039. 5941. 6020. 6007. 6139. 5996.],4138025.0,1562.5,[9915. 9897. 9375. 7407. 6810. 3304. 3335. 3266. 3362. 3314.],0.25481030753968253,2.4422272234725346,KSP,FF,test_nsf
166,[5974. 6001. 6018. 6083. 5956. 5992. 5977. 5991. 5970. 6038.],[ 0.  0.  1.  0.  2.  5. 11. 23. 45. 79.],[5974. 6001. 6017. 6083. 5954. 5987. 5966. 5968. 5925. 5959.],4124637.5,18737.5,[10047. 10117.  9339.  7396.  6586.  3249.  3194.  3235.  3296.  3375.],0.3297440091765873,2.406040044122071,KSP,FF,test_nsf
481,[6045. 6045. 6062. 5918. 5902. 6079. 5977. 5980. 6039. 5953.],[  0.   0.   0.   1.  12.  23.  47.  76. 140. 182.],[6045. 6045. 6062. 5917. 5890. 6056. 5930. 5904. 5899. 5771.],4119212.5,52737.5,[10099.  9937.  9507.  7449.  6466.  3270.  3217.  3235.  3238.  3101.],0.38640496651785716,2.3723852887313295,KSP,FF,test_nsf
1383,[5965. 5918. 6023. 6178. 5986. 6003. 5982. 5943. 5999. 6003.],[  0.   0.   1.   3.  26.  72. 143. 238. 370. 530.],[5965. 5918. 6022. 6175. 5960. 5931. 5839. 5705. 5629. 5473.],4124612.5,151400.0,[9946. 9957. 9412. 7519. 6566. 3222. 3165. 3035. 2992. 2803.],0.45015404265873016,2.3264070150297695,KSP,FF,test_nsf
2653,[6008. 6040. 6033. 5978. 5962. 5977. 5976. 5950. 6097. 5979.],[  0.   0.   4.  19.  61. 151. 307. 450. 739. 922.],[6008. 6040. 6029. 5959. 5901. 5826. 5669. 5500. 5358. 5057.],4123325.0,286487.5,[ 9989. 10111.  9366.  7301.  6357.  3155.  3004.  2862.  2751.  2451.],0.48960749379960317,2.302579036392488,KSP,FF,test_nsf
