nob,cnt_gen_band,cnt_blk_band,cnt_suc_band,total_Gen_bandwidth,total_Block_bandwidth,cnt_suc_nos,utilization,avghop,routing_name,assingment_name,networktopo
0,[5893. 6139. 6025. 6090. 5933. 5773. 6040. 6077. 6054. 5976.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5893. 6139. 6025. 6090. 5933. 5773. 6040. 6077. 6054. 5976.],4125637.5,0,[9810. 9868. 9300. 7352. 6477. 3308. 3459. 3477. 3462. 3487.],0.16020711929563491,2.3237833333333335,FZ,2D,test_nsf
0,[5888. 5973. 6093. 5889. 6040. 5942. 6022. 6009. 6145. 5999.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5888. 5973. 6093. 5889. 6040. 5942. 6022. 6009. 6145. 5999.],4138025.0,0,[9835. 9844. 9293. 7329. 6735. 3367. 3415. 3337. 3458. 3387.],0.23648732390873015,2.2819333333333334,FZ,2D,test_nsf
25,[5974. 6001. 6018. 6083. 5956. 5992. 5977. 5991. 5970. 6038.],[ 0.  0.  0.  0.  1.  1.  2.  3.  6. 12.],[5974. 6001. 6018. 6083. 5955. 5991. 5975. 5988. 5964. 6026.],4124637.5,2787.5,[ 9982. 10035.  9282.  7389.  6601.  3295.  3247.  3293.  3371.  3480.],0.3215387487599206,2.3262859524802,FZ,2D,test_nsf
233,[6045. 6045. 6062. 5918. 5902. 6079. 5977. 5980. 6039. 5953.],[  0.   0.   0.   0.   3.   6.  15.  42.  66. 101.],[6045. 6045. 6062. 5918. 5899. 6073. 5962. 5938. 5973. 5852.],4119212.5,26200.0,[10015.  9892.  9460.  7485.  6562.  3308.  3265.  3282.  3317.  3181.],0.38609496403769844,2.3422791841651747,FZ,2D,test_nsf
1046,[5965. 5918. 6023. 6178. 5986. 6003. 5982. 5943. 5999. 6003.],[  0.   0.   0.   7.  15.  59. 102. 161. 301. 401.],[5965. 5918. 6023. 6171. 5971. 5944. 5880. 5782. 5698. 5602.],4124612.5,114725.0,[9892. 9918. 9389. 7559. 6648. 3240. 3214. 3114. 3062. 2918.],0.4547038628472222,2.3181124266377173,FZ,2D,test_nsf
2326,[6008. 6040. 6033. 5978. 5962. 5977. 5976. 5950. 6097. 5979.],[  0.   1.   3.  16.  50. 121. 250. 386. 643. 856.],[6008. 6039. 6030. 5962. 5912. 5856. 5726. 5564. 5454. 5123.],4123325.0,252950.0,[ 9959. 10067.  9353.  7334.  6466.  3194.  3059.  2919.  2825.  2498.],0.49291478918650794,2.292038006727468,FZ,2D,test_nsf
