nob,cnt_gen_band,cnt_blk_band,cnt_suc_band,total_Gen_bandwidth,total_Block_bandwidth,cnt_suc_nos,utilization,avghop,routing_name,assingment_name,networktopo
4,[4916. 5118. 5036. 5098. 4976. 4758. 5046. 5050. 5038. 4964.],[0. 0. 0. 0. 0. 0. 0. 0. 3. 1.],[4916. 5118. 5036. 5098. 4976. 4758. 5046. 5050. 5035. 4963.],3434800.0,462.5,[8349. 8426. 7889. 6228. 5486. 2594. 2759. 2787. 2735. 2743.],0.24993799404761904,2.4302944235538844,KSP,2D,test_nsf
22,[4944. 4988. 5066. 4933. 4951. 4968. 4962. 5043. 5116. 5029.],[0. 0. 0. 0. 0. 0. 4. 4. 5. 9.],[4944. 4988. 5066. 4933. 4951. 4968. 4958. 5039. 5111. 5020.],3447812.5,2437.5,[8285. 8184. 7847. 6180. 5590. 2754. 2749. 2736. 2820. 2833.],0.29231849404761906,2.4307295209892352,KSP,2D,test_nsf
90,[4926. 4956. 5060. 4941. 5036. 4949. 5064. 5002. 5038. 5028.],[ 0.  0.  0.  0.  2.  1.  7.  9. 21. 50.],[4926. 4956. 5060. 4941. 5034. 4948. 5057. 4993. 5017. 4978.],3446775.0,10325.0,[8339. 8285. 7844. 6162. 5640. 2707. 2734. 2683. 2772. 2744.],0.32576368005952383,2.4026046884391907,KSP,2D,test_nsf
176,[4987. 5051. 4939. 5098. 4864. 5106. 4929. 4964. 4983. 5079.],[ 0.  0.  0.  1.  2.  4. 22. 21. 54. 72.],[4987. 5051. 4939. 5097. 4862. 5102. 4907. 4943. 4929. 5007.],3438825.0,19575.0,[8324. 8477. 7746. 6211. 5354. 2793. 2667. 2706. 2740. 2806.],0.3635560625,2.383891297366731,KSP,2D,test_nsf
286,[5052. 5013. 5114. 4906. 5007. 4976. 5014. 5005. 5004. 4909.],[  0.   0.   0.   1.   6.  10.  24.  45.  88. 112.],[5052. 5013. 5114. 4905. 5001. 4966. 4990. 4960. 4916. 4797.],3427487.5,31675.0,[8457. 8252. 7934. 6196. 5511. 2672. 2711. 2712. 2697. 2572.],0.3888290625,2.364243472663636,KSP,2D,test_nsf
572,[4940. 4950. 5006. 5182. 4983. 5032. 4983. 4936. 5028. 4960.],[  0.   0.   0.   2.   9.  28.  56.  83. 162. 232.],[4940. 4950. 5006. 5180. 4974. 5004. 4927. 4853. 4866. 4728.],3436425.0,63187.5,[8254. 8317. 7852. 6281. 5528. 2740. 2694. 2646. 2614. 2502.],0.4263468586309524,2.3425993364085134,KSP,2D,test_nsf
