log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
96,98,2,0.02,1.6066486263275146
54,77,23,0.23,1.6068729066848755
40,70,30,0.3,1.606977115869522
18,59,41,0.41,1.6069918119907378
42,71,29,0.29,1.6070412600040436
50,75,25,0.25,1.6070700681209564
36,68,32,0.32,1.6070558476448058
36,68,32,0.32,1.6070627081394195
16,58,42,0.42,1.607045660018921
20,60,40,0.4,1.6070429325103759
14,57,43,0.43,1.6070327818393708
48,74,26,0.26,1.6070141100883484
36,68,32,0.32,1.6069925904273987
26,63,37,0.37,1.607023549079895
38,69,31,0.31,1.606995894908905
22,61,39,0.39,1.6069840610027313
24,62,38,0.38,1.606939207315445
34,67,33,0.33,1.6069191539287566
44,72,28,0.28,1.6068684947490692
28,64,36,0.36,1.6068391001224518
40,70,30,0.3,1.606772290468216
40,70,30,0.3,1.606717481613159
40,70,30,0.3,1.6066054677963257
46,73,27,0.27,1.6065816926956176
40,70,30,0.3,1.6064718461036682
18,59,41,0.41,1.606461752653122
26,63,37,0.37,1.606421627998352
42,71,29,0.29,1.606302729845047
30,65,35,0.35,1.6062417721748352
34,67,33,0.33,1.6061241936683655
38,69,31,0.31,1.6061025667190552
38,69,31,0.31,1.6060411036014557
22,61,39,0.39,1.606032555103302
30,65,35,0.35,1.6060511887073516
32,66,34,0.34,1.6058605849742889
28,64,36,0.36,1.6057465600967407
28,64,36,0.36,1.6055379939079284
36,68,32,0.32,1.6054613018035888
42,71,29,0.29,1.605491991043091
28,64,36,0.36,1.6053176379203797
42,71,29,0.29,1.6051497590541839
36,68,32,0.32,1.605046979188919
24,62,38,0.38,1.6049090480804444
32,66,34,0.34,1.6048317408561708
42,71,29,0.29,1.6047686338424683
22,61,39,0.39,1.6046233880519867
34,67,33,0.33,1.604872156381607
20,60,40,0.4,1.6046933937072754
36,68,32,0.32,1.604431196451187
16,58,42,0.42,1.6041927456855773
42,71,29,0.29,1.6040263509750365
32,66,34,0.34,1.603776695728302
24,62,38,0.38,1.6038656282424926
34,67,33,0.33,1.604039739370346
10,55,45,0.45,1.6043934226036072
4,52,48,0.48,1.6037658405303956
34,67,33,0.33,1.6038853216171265
4,52,48,0.48,1.6041688168048858
10,55,45,0.45,1.6036291110515595
26,63,37,0.37,1.6032942247390747
34,67,33,0.33,1.6030976283550262
32,66,34,0.34,1.6030019342899322
16,58,42,0.42,1.6029435062408448
44,72,28,0.28,1.6023415780067445
52,76,24,0.24,1.6023708271980286
32,66,34,0.34,1.6025173151493073
40,70,30,0.3,1.6025356686115264
18,59,41,0.41,1.6027283227443696
20,60,40,0.4,1.6028486847877503
52,76,24,0.24,1.6012052488327027
32,66,34,0.34,1.6016501915454864
40,70,30,0.3,1.6007273828983306
28,64,36,0.36,1.6018298482894897
56,78,22,0.22,1.6007608103752136
16,58,42,0.42,1.6013973236083985
24,62,38,0.38,1.6006633818149567
50,75,25,0.25,1.5990128338336944
34,67,33,0.33,1.6005691623687743
24,62,38,0.38,1.5996906900405883
36,68,32,0.32,1.5996657633781433
36,68,32,0.32,1.6001761853694916
34,67,33,0.33,1.599918919801712
34,67,33,0.33,1.5994170427322387
44,72,28,0.28,1.6001135396957398
28,64,36,0.36,1.5999258255958557
26,63,37,0.37,1.6008842277526856
40,70,30,0.3,1.599891027212143
36,68,32,0.32,1.5996306705474854
30,65,35,0.35,1.5984988105297089
22,61,39,0.39,1.5981790113449097
42,71,29,0.29,1.59911306142807
36,68,32,0.32,1.599125075340271
30,65,35,0.35,1.5997395873069764
30,65,35,0.35,1.5988484489917756
34,67,33,0.33,1.5996090281009674
38,69,31,0.31,1.5989970719814302
40,70,30,0.3,1.598651534318924
34,67,33,0.33,1.5989688622951508
30,65,35,0.35,1.5993164932727815
18,59,41,0.41,1.5996265470981599
50,75,25,0.25,1.5974181640148162
28,64,36,0.36,1.5975868272781373
38,69,31,0.31,1.5980768418312072
36,68,32,0.32,1.5984252178668976
16,58,42,0.42,1.5996322131156921
28,64,36,0.36,1.5992185497283935
48,74,26,0.26,1.5975835645198821
38,69,31,0.31,1.5972127389907838
20,60,40,0.4,1.5983933651447295
44,72,28,0.28,1.5971914553642272
30,65,35,0.35,1.598038568496704
38,69,31,0.31,1.5966433298587799
44,72,28,0.28,1.5962022590637206
26,63,37,0.37,1.597818418741226
28,64,36,0.36,1.5967593419551849
34,67,33,0.33,1.596193209886551
28,64,36,0.36,1.59763916015625
34,67,33,0.33,1.5973919749259948
34,67,33,0.33,1.5965867030620575
30,65,35,0.35,1.5972626447677611
24,62,38,0.38,1.5981056666374207
32,66,34,0.34,1.596681411266327
18,59,41,0.41,1.5965165054798127
36,68,32,0.32,1.5963348650932312
22,61,39,0.39,1.5954439771175384
42,71,29,0.29,1.5938618850708008
16,58,42,0.42,1.595115373134613
32,66,34,0.34,1.5945574688911437
60,80,20,0.2,1.5915608346462249
24,62,38,0.38,1.5937564432621003
28,64,36,0.36,1.595070937871933
8,54,46,0.46,1.595369164943695
42,71,29,0.29,1.5935631906986236
24,62,38,0.38,1.5932793402671814
30,65,35,0.35,1.5909870994091033
48,74,26,0.26,1.5920746326446533
40,70,30,0.3,1.591727842092514
34,67,33,0.33,1.590681015253067
32,66,34,0.34,1.5883209550380706
28,64,36,0.36,1.5910306322574614
40,70,30,0.3,1.5892836403846742
38,69,31,0.31,1.5883553695678712
50,75,25,0.25,1.5888201022148132
28,64,36,0.36,1.5887899053096772
34,67,33,0.33,1.5885065305233002
38,69,31,0.31,1.588257645368576
48,74,26,0.26,1.5856271481513977
42,71,29,0.29,1.5861513876914979
20,60,40,0.4,1.5876164197921754
26,63,37,0.37,1.5832899272441865
18,59,41,0.41,1.5844384133815765
38,69,31,0.31,1.5828215515613555
16,58,42,0.42,1.5809267783164977
34,67,33,0.33,1.5812516117095947
30,65,35,0.35,1.5799101066589356
22,61,39,0.39,1.581445631980896
28,64,36,0.36,1.5796181678771972
34,67,33,0.33,1.5779172992706298
42,71,29,0.29,1.5759809124469757
32,66,34,0.34,1.5792821526527405
32,66,34,0.34,1.5773319363594056
48,74,26,0.26,1.576986037492752
16,58,42,0.42,1.577602242231369
40,70,30,0.3,1.5733578491210938
32,66,34,0.34,1.5757717502117157
30,65,35,0.35,1.5764572048187255
44,72,28,0.28,1.5721547865867616
48,74,26,0.26,1.5770316672325135
40,70,30,0.3,1.5719140100479125
46,73,27,0.27,1.570606838464737
36,68,32,0.32,1.5712397599220276
24,62,38,0.38,1.575918936729431
42,71,29,0.29,1.5693983542919159
50,75,25,0.25,1.5675646555423737
38,69,31,0.31,1.5679095947742463
40,70,30,0.3,1.5671853518486023
14,57,43,0.43,1.5739976954460144
28,64,36,0.36,1.5651094937324523
36,68,32,0.32,1.5675472354888915
30,65,35,0.35,1.5668422853946686
34,67,33,0.33,1.568816614151001
52,76,24,0.24,1.5695027494430542
